Kolumna1,Kolumna2,Kolumna3,Kolumna4
G029303,00:00:20:00,#N/D,
G029304,00:00:25:00,#N/D,
G029314,00:00:20:00,#N/D,
G029315,00:00:10:00,#N/D,
G029322,00:00:20:00,#N/D,
G029387,00:00:30:00,#N/D,
G029388,00:00:15:00,#N/D,
G029389,00:00:30:00,#N/D,
G029390,00:00:30:00,#N/D,
G029391,00:00:15:00,#N/D,
G029392,00:00:30:00,#N/D,
G029424,00:00:30:00,#N/D,
G029425,00:00:15:00,#N/D,
G029431,00:00:30:00,#N/D,
G029432,00:00:30:00,#N/D,
G029437,00:00:20:00,#N/D,
G029439,00:00:25:00,#N/D,
G029440,00:00:25:00,#N/D,
G029441,00:00:25:00,#N/D,
G029442,00:00:25:00,#N/D,
G029443,00:00:25:00,#N/D,
G029462,00:00:36:00,#N/D,
G029463,00:00:36:00,#N/D,
G029464,00:00:25:00,#N/D,
G029472,00:00:30:00,#N/D,
G029473,00:00:30:00,#N/D,
G029495,00:00:10:00,#N/D,
G029496,00:00:20:00,#N/D,
G029497,00:00:10:00,#N/D,
G029498,00:00:20:00,#N/D,
G029499,00:00:10:00,#N/D,
G029500,00:00:20:00,#N/D,
G029501,00:00:10:00,#N/D,
G029502,00:00:20:00,#N/D,
G029503,00:00:20:00,#N/D,
G029512,00:00:25:00,#N/D,
G029513,00:00:30:00,#N/D,
G029514,00:00:20:00,#N/D,
G029529,00:00:55:00,#N/D,
G029531,00:00:55:00,#N/D,
G029533,00:00:45:00,#N/D,
G029535,00:00:45:00,#N/D,
G029537,00:00:30:00,#N/D,
G029539,00:00:30:00,#N/D,
G029558,00:00:30:00,#N/D,
G029559,00:00:20:00,#N/D,
G029561,00:00:30:00,#N/D,
G029584,00:00:30:00,#N/D,
G029591,00:00:20:00,#N/D,
G029592,00:00:30:00,#N/D,
G029598,00:00:10:00,#N/D,
G029599,00:00:20:00,#N/D,
G029600,00:00:20:00,#N/D,
G029601,00:00:30:00,#N/D,
G029602,00:00:20:00,#N/D,
G029603,00:00:20:00,#N/D,
G029606,00:00:30:00,#N/D,
G029608,00:00:20:00,#N/D,
G029611,00:00:20:00,#N/D,
G029615,00:00:20:00,#N/D,
G029631,00:00:25:00,#N/D,
G029632,00:00:25:00,#N/D,
G029633,00:00:25:00,#N/D,
G029634,00:00:10:05,#N/D,
G029638,00:00:20:00,#N/D,
G029639,00:00:20:00,#N/D,
G029640,00:00:10:00,#N/D,
G029641,00:00:10:00,#N/D,
G029642,00:00:20:00,#N/D,
G029645,00:00:30:00,#N/D,
G029646,00:00:20:00,#N/D,
G029647,00:00:15:00,#N/D,
G029653,00:00:20:00,#N/D,
G029655,00:00:25:00,#N/D,
G029656,00:00:25:00,#N/D,
G029657,00:00:25:00,#N/D,
G029676,00:00:30:00,#N/D,
G029677,00:00:55:00,#N/D,
G029678,00:00:55:00,#N/D,
G029679,00:00:30:00,#N/D,
G029680,00:00:30:00,#N/D,
G029681,00:00:15:00,#N/D,
G029682,00:00:45:00,#N/D,
G029683,00:00:20:00,#N/D,
G029687,00:00:30:00,#N/D,
G029688,00:00:30:00,#N/D,
SPI900001,00:50:46:17,00:50:46:17,
SPI900002,00:45:58:18,00:45:58:18,
SPI900003,01:18:25:00,01:18:25:00,
SPI900004,00:42:15:08,00:42:15:08,
SPI900005,01:27:00:17,01:27:00:17,
SPI900006,01:05:46:00,01:05:46:00,
SPI900008,01:00:00:00,01:00:00:00,
SPI900009,01:25:31:08,01:25:31:08,
SPI900010,00:54:00:20,00:54:00:20,
SPI900014,00:29:44:04,00:29:44:04,
SPI900015,02:01:48:00,02:01:48:00,
SPI900016,00:46:59:12,00:46:59:12,
SPI900017,00:40:41:03,00:40:41:03,
SPI900020,00:30:10:02,00:30:10:02,
SPI900021,02:01:24:09,02:01:24:09,
SPI900022,02:50:58:23,02:50:58:23,
SPI900024,01:06:58:21,01:06:58:21,
SPI900029,00:23:22:19,00:23:22:19,
SPI900031,01:38:02:00,01:38:02:00,
SPI900032,01:31:29:24,01:31:29:24,
SPI900033,00:37:54:14,00:37:54:14,
SPI900037,00:56:39:17,00:56:39:17,
SPI900038,00:22:25:21,00:22:25:21,
SPI900039,00:53:40:20,00:53:40:20,
SPI900040,00:50:12:01,00:50:12:01,
SPI900041,00:47:23:06,00:47:23:06,
SPI900042,01:05:13:09,01:05:13:09,
SPI900043,00:26:06:13,00:26:06:13,
SPI900044,00:24:25:22,00:24:25:22,
SPI900045,00:37:42:01,00:37:42:01,
SPI900046,00:37:36:20,00:37:36:20,
SPI900047,00:32:38:14,00:32:38:14,
SPI900048,01:49:18:05,01:49:18:05,
SPI900049,04:01:39:18,04:01:39:18,
SPI900050,01:45:00:10,01:45:00:10,
SPI900051,00:23:34:13,00:23:34:13,
SPI900052,00:43:07:13,00:43:07:13,
SPI900053,00:48:16:19,00:48:16:19,
SPI900054,00:22:17:18,00:22:17:18,
SPI900055,00:15:08:16,00:15:08:16,
SPI900056,00:53:05:01,00:53:05:01,
SPI900057,00:49:03:14,00:49:03:14,
SPI900058,01:39:50:10,01:39:50:10,
SPI900059,02:06:48:03,02:06:48:03,
SPI900060,01:42:37:10,01:42:37:10,
SPI900061,01:39:53:18,01:39:53:18,
SPI900062,01:28:05:00,01:28:05:00,
SPI900063,01:44:18:15,01:44:18:14,
SPI900064,01:44:45:13,01:44:45:13,
SPI900065,01:41:25:12,01:41:25:11,
SPI900066,00:44:59:19,00:44:59:19,
SPI900067,01:37:59:24,01:37:59:24,
SPI900068,00:15:27:04,00:15:27:04,
SPI900069,02:11:56:20,02:11:56:20,
SPI900070,01:02:18:19,01:02:18:19,
SPI900071,00:37:03:20,00:37:03:20,
SPI900072,00:16:00:00,00:16:00:00,
SPI900073,00:25:51:13,00:25:51:13,
SPI900074,00:45:34:03,00:45:34:03,
SPI900075,00:47:27:07,00:47:27:07,
SPI900076,02:09:38:00,02:09:38:00,
SPI900077,02:08:30:24,02:08:30:24,
SPI900078,01:27:27:21,01:27:27:21,
SPI900079,00:43:30:08,#N/D,
SPI900080,00:47:00:11,00:47:00:11,
SPI900081,00:14:26:02,00:14:26:02,
SPI900082,02:40:31:06,02:40:31:06,
SPI900084,01:31:09:06,01:31:09:06,
SPI900085,02:01:36:15,02:01:36:15,
SPI900086,00:23:09:02,#N/D,
SPI900087,01:31:36:08,#N/D,
SPI900088,00:52:00:00,#N/D,
SPI900089,02:02:51:19,#N/D,
SPI900091,01:05:17:09,#N/D,
SPI900092,00:59:33:06,#N/D,
SPI900093,02:11:36:24,#N/D,
SPI900094,01:57:17:02,#N/D,
SPI900095,01:33:47:00,#N/D,
SPI900096,01:49:18:22,#N/D,
SPI900097,02:07:53:17,#N/D,
SPI900098,01:21:33:04,#N/D,
SPI900099,01:22:33:12,#N/D,
SPI900100,01:27:33:04,#N/D,
SPI900101,01:22:32:14,#N/D,
SPI900102,01:30:04:16,#N/D,
SPI900103,01:28:51:11,#N/D,
SPI900104,01:03:21:18,#N/D,
SPI900105,01:59:35:23,#N/D,
SPI900106,01:31:29:17,#N/D,
SPI900107,01:37:52:01,#N/D,
SPI900108,04:40:33:12,#N/D,
SPI900112,00:49:56:09,#N/D,
SPI900113,01:55:13:08,#N/D,
SPI900114,02:14:31:12,#N/D,
SPI900115,01:30:00:00,#N/D,
SPI900116,00:26:05:17,#N/D,
SPI900117,00:26:11:18,#N/D,
SPI900118,02:03:49:07,#N/D,
SPI900119,01:17:37:10,#N/D,
SPI900120,02:16:28:21,#N/D,
SPI900121,02:03:28:05,#N/D,
SPI900122,01:41:03:01,#N/D,
SPI900123,01:43:15:11,#N/D,
SPI900124,01:38:56:21,#N/D,
SPI900125,00:52:00:01,#N/D,
SPI900126,01:33:30:24,#N/D,
SPI900127,01:48:15:24,#N/D,
SPI900128,01:55:29:17,#N/D,
SPI900129,01:28:07:05,#N/D,
SPI900130,01:36:33:01,#N/D,
SPI900132,01:56:52:15,#N/D,
SPI900135,02:25:58:10,#N/D,
SPI900136,01:39:20:03,#N/D,
SPI900137,01:35:37:13,#N/D,
SPI900139,01:38:16:03,#N/D,
SPI900145,01:06:48:03,#N/D,
SPI900146,00:49:35:06,#N/D,
SPI900148,02:05:57:00,#N/D,
SPI900149,00:18:50:08,#N/D,
SPI900150,01:05:47:00,#N/D,
SPI900151,00:41:27:05,#N/D,
SPI900152,00:12:28:08,#N/D,
SPI900153,00:18:03:17,#N/D,
SPI900154,02:51:59:00,#N/D,
SPI900155,02:31:53:11,#N/D,
SPI900156,03:15:48:09,#N/D,
SPI900157,01:28:52:09,#N/D,
SPI900158,02:37:01:03,#N/D,
SPI900159,01:08:43:21,#N/D,
SPI900160,00:48:00:00,#N/D,
SPI900162,00:22:52:15,#N/D,
SPI900165,00:47:57:02,#N/D,
SPI900171,01:49:10:06,#N/D,
SPI900191,00:58:49:14,#N/D,
SPI900194,00:57:20:09,#N/D,
SPI900195,00:44:28:21,#N/D,
SPP900031,00:00:03:01,#N/D,
SPP900032,00:00:03:01,#N/D,
SPP900033,00:00:03:01,#N/D,
SPP900034,00:00:03:01,#N/D,
SPP900035,00:00:03:01,#N/D,
SPP900036,00:00:03:01,#N/D,
SPP900037,00:00:03:01,#N/D,
SPP900038,00:00:03:01,#N/D,
SPP900039,00:00:03:01,#N/D,
SPP900040,00:00:03:01,#N/D,
SPP900041,00:00:10:00,#N/D,
SPP900042,00:00:10:00,#N/D,
SPP900043,00:00:10:00,#N/D,
SPP900044,00:00:10:00,#N/D,
SPP900045,00:00:10:00,#N/D,
SPP900046,00:00:10:00,#N/D,
SPP900047,00:00:10:00,#N/D,
SPP900048,00:00:10:00,#N/D,
SPP900049,00:01:29:06,#N/D,
SPP900055,00:00:30:00,#N/D,
SPP900056,00:00:30:00,#N/D,
SPP900057,00:00:30:00,#N/D,
SPP900058,00:00:30:00,#N/D,
